γεια	Привет
καλημέρα	Доброе утро
καλησπέρα	Добрый вечер
καληνύχτα	Спокойной ночи
ευχαριστώ	Спасибо
παρακαλώ	Пожалуйста
συγγνώμη	Извините
ναι	Да
όχι	Нет
το νερό	Вода
το ψωμί	Хлеб
το τυρί	Сыр
ο καφές	Кофе
το τσάι	Чай
το γάλα	Молоко
το κρασί	Вино
η μπύρα	Пиво
το φαγητό	Еда
το πρωινό	Завтрак
το μεσημεριανό	Обед
το δείπνο	Ужин
ο άνθρωπος	Человек
η γυναίκα	Женщина
ο άνδρας	Мужчина
το παιδί	Ребёнок
το σπίτι	Дом
ο δρόμος	Дорога
η πόλη	Город
το χωριό	Деревня
η θάλασσα	Море
Η μαμά	Мама
Ο μπαμπάς	Папа
Η μητέρα	Мать
Ο πατέρας	Отец
Οι γονείς	Родители
Ο αδελφός	Брат
Η αδελφή	Сестра
Τα αδέλφια	Братья и сёстры
Ο ξάδελφος	Двоюродный брат
Η ξαδέλφη	Двоюродная сестра
Ο θείος	Дядя
Η θεία	Тётя
Η γιαγιά	Бабушка
Ο παππούς	Дедушка
Ο ανιψιός	Племянник
Η ανιψιά	Племянница
Ο εγγονός	Внук
Η εγγονή	Внучка
Ο γιός	Сын
Η κόρη	Дочь
Το αγόρι	Мальчик
Το κορίτσι	Девочка
Το παιδί	Ребёнок
Τα παιδιά	Дети
Οικογενειακή κατάσταση	Семейное положение
Παντρεμένος	Женат
Παντρεμένη	Замужем
Χωρισμένος	Разведён
Χωρισμένη	Разведена
Ελεύθερος	Свободен
Ελεύθερη	Свободна
Ο καθηγητής	Преподаватель
Η καθηγήτρια	Преподавательница
Ο κομμωτής	Парикмахер
Η κομμώτρια	Парикмахер
Ο φοιτητής	Студент
Η φοιτήτρια	Студентка
Ο εργάτης	Рабочий
Η εργάτρια	Рабочая
Ο πωλητής	Продавец
Η πωλήτρια	Продавщица
Ο αθλητής	Спортсмен
Η αθλήτρια	Спортсменка
Ο σερβιτόρος	Официант
Η σερβιτόρα	Официантка
Ο νοσοκόμος	Медбрат
Η νοσοκόμα	Медсестра
Ο δάσκαλος	Учитель
Η δασκάλα	Учительница
Ο άνεργος	Безработный
Η άνεργη	Безработная
Ο μάγειρας	Повар
Η μαγείρισσα	Повар
Ο δικηγόρος	Адвокат
Η δικηγόρος	Адвокат
Ο ηλεκτρολόγος	Электрик
Η ηλεκτρολόγος	Электрик
Ο οδηγός	Водитель
Η οδηγός	Водитель
Ο μηχανικός	Инженер
Η μηχανικός	Инженер
Ο γιατρός	Врач
Η γιατρός	Врач
Ο υπάλληλος	Сотрудник
Η υπάλληλος	Сотрудница
Ο ηθοποιός	Актёр
Η ηθοποιός	Актриса
Ο ταμίας	Кассир
Η ταμίας	Кассир
Ο αρχιτέκτονας	Архитектор
Η αρχιτέκτονας	Архитектор
Ο γραμματέας	Секретарь
Η γραμματέας	Секретарь
Ο Έλληνας	Грек
Η Ελληνίδα	Гречанка
Ο Ισπανός	Испанец
